student_id,age,gender,major,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,previous_gpa,semester,stress_level,dropout_risk,social_activity,screen_time,study_environment,access_to_tutoring,family_income_range,parental_support_level,motivation_level,exam_anxiety_score,learning_style,time_management_score,exam_score
100000,26,Male,Computer Science,7.64536653374835,3.0,0.1,Yes,70.3,6.2,Poor,3,Some College,High,6.0,Yes,4.0,5,5.8,No,0,10.9,Co-Learning Group,Yes,High,9,7,8,Reading,3.0,100
100015,17,Female,Computer Science,3.52759548740777,0.1,0.8,Yes,98.0,8.0,Fair,1,PhD,Medium,10.0,Yes,3.14,8,4.7,No,2,5.1,Quiet Room,No,Medium,9,6,9,Reading,9.5,87
100023,23,Male,Computer Science,3.279126215564136,3.8,3.3,No,68.2,6.5,Good,1,High School,Medium,9.3,No,4.0,5,6.1,No,1,10.9,Quiet Room,Yes,Medium,4,2,10,Visual,8.0,100
100029,18,Female,Computer Science,3.837869655105928,3.8,0.4,No,68.2,5.8,Fair,4,Some College,High,4.5,Yes,4.0,3,3.9,No,4,8.1,Quiet Room,Yes,Low,5,8,7,Kinesthetic,2.0,100
100030,26,Other,Computer Science,7.606317651242962,4.0,0.9,Yes,94.5,6.8,Fair,7,PhD,Low,5.1,No,4.0,3,7.8,No,1,13.6,Co-Learning Group,Yes,Medium,5,10,5,Visual,6.6,100
100046,17,Female,Computer Science,8.205205575142877,4.1,2.2,Yes,59.7,5.2,Poor,3,PhD,Low,9.0,Yes,4.0,4,4.9,No,0,15.7,Co-Learning Group,No,Low,5,3,10,Reading,9.9,99
100055,21,Male,Computer Science,7.447689835997439,0.5,1.0,Yes,85.6,7.0,Good,2,Some College,High,5.5,No,4.0,2,7.7,No,4,9.3,Co-Learning Group,No,High,8,8,7,Kinesthetic,7.8,98
100057,28,Other,Computer Science,5.003501877270392,4.5,1.4,Yes,42.3,4.6,Good,2,Master,High,9.2,No,3.45,8,6.4,No,2,12.3,Dorm,No,High,9,10,5,Reading,2.4,88
100058,26,Other,Computer Science,4.523733655002461,3.3,3.6,Yes,44.9,6.2,Good,5,Bachelor,High,5.4,No,3.99,6,5.8,No,5,13.2,Quiet Room,Yes,Medium,7,3,10,Reading,6.4,96
100062,16,Female,Computer Science,5.130825904749953,4.2,2.6,No,42.3,5.0,Good,2,Master,Low,8.6,Yes,2.98,7,6.0,No,1,13.5,Quiet Room,No,High,3,8,7,Visual,5.0,75
100068,26,Female,Computer Science,3.2050948288547856,3.4,3.8,Yes,74.4,5.1,Good,1,Master,Medium,5.5,Yes,3.28,3,8.4,No,3,11.1,Quiet Room,No,Medium,5,4,10,Auditory,9.6,86
100078,27,Other,Computer Science,2.8211828352491244,3.9,1.5,No,41.9,6.5,Good,3,High School,High,8.8,Yes,4.0,8,4.0,No,3,9.9,Library,Yes,Low,1,8,7,Kinesthetic,3.8,100
100084,22,Other,Computer Science,6.9467355218064535,1.3,1.3,Yes,55.7,7.2,Fair,0,Some College,Low,5.2,No,4.0,3,7.5,No,5,10.7,Cafe,No,Low,2,8,7,Reading,3.8,100
100089,28,Male,Computer Science,5.497784896731553,3.5,0.2,Yes,66.3,6.7,Good,6,High School,Low,7.1,Yes,4.0,7,5.3,No,5,10.7,Co-Learning Group,Yes,Low,9,5,10,Reading,3.1,100
100092,25,Other,Computer Science,6.657019760526673,0.1,3.7,Yes,84.8,8.4,Good,1,Some College,Low,8.8,Yes,4.0,2,1.5,No,3,12.4,Library,No,High,10,4,10,Reading,4.6,97
100097,26,Other,Computer Science,2.4028451500191057,0.4,3.4,No,74.0,4.4,Good,5,High School,High,3.9,No,2.85,2,6.1,No,0,7.5,Co-Learning Group,No,High,1,4,10,Kinesthetic,2.9,72
100115,23,Female,Computer Science,7.493339984525651,1.8,0.3,Yes,43.1,5.8,Good,2,Some College,Low,6.5,Yes,2.89,7,5.4,No,1,10.9,Cafe,No,Medium,2,2,10,Visual,1.0,65
100119,18,Female,Computer Science,5.989289998993092,2.5,2.5,Yes,65.4,4.4,Fair,6,PhD,Low,10.0,Yes,3.58,1,1.8,No,1,12.0,Dorm,No,High,10,3,10,Visual,3.5,90
100123,25,Female,Computer Science,6.782306870620903,4.2,1.3,Yes,62.1,7.8,Fair,0,Bachelor,Medium,9.4,Yes,4.0,1,2.0,No,1,13.4,Co-Learning Group,Yes,High,10,4,10,Kinesthetic,5.2,100
100131,24,Other,Computer Science,5.33810510112067,1.8,2.4,No,96.9,9.6,Good,5,PhD,Low,6.3,No,3.58,4,5.5,No,1,10.9,Cafe,Yes,Low,8,9,6,Visual,3.8,94
100132,25,Male,Computer Science,4.602424444588155,4.3,0.2,Yes,86.5,7.2,Good,2,Bachelor,Low,6.8,No,3.36,8,5.9,No,1,9.4,Dorm,Yes,Low,6,7,8,Reading,6.3,87
