student_id,social_media_hours,netflix_hours,screen_time,internet_quality,exam_score,Pass_Fail
100000,3.0,0.1,10.9,High,100,1
100015,0.1,0.8,5.1,Medium,87,1
100023,3.8,3.3,10.9,Medium,100,1
100029,3.8,0.4,8.1,High,100,1
100030,4.0,0.9,13.6,Low,100,1
100046,4.1,2.2,15.7,Low,99,1
100055,0.5,1.0,9.3,High,98,1
100057,4.5,1.4,12.3,High,88,1
100058,3.3,3.6,13.2,High,96,1
100062,4.2,2.6,13.5,Low,75,1
100068,3.4,3.8,11.1,Medium,86,1
100078,3.9,1.5,9.9,High,100,1
100084,1.3,1.3,10.7,Low,100,1
100089,3.5,0.2,10.7,Low,100,1
100092,0.1,3.7,12.4,Low,97,1
100097,0.4,3.4,7.5,High,72,1
100115,1.8,0.3,10.9,Low,65,1
100119,2.5,2.5,12.0,Low,90,1
100123,4.2,1.3,13.4,Medium,100,1
100131,1.8,2.4,10.9,Low,94,1
100132,4.3,0.2,9.4,Low,87,1
100136,0.8,0.4,8.1,Medium,99,1
100145,1.1,1.2,11.4,Medium,87,1
100161,3.0,1.3,11.6,High,79,1
100163,0.8,1.1,7.1,Low,97,1
100166,1.7,3.5,12.7,High,100,1
100171,0.9,2.5,11.7,Medium,92,1
100183,2.0,2.6,8.1,Low,61,1
100191,0.1,0.5,2.8,Medium,88,1
100199,0.8,2.9,6.7,Medium,83,1
100202,1.9,0.7,7.7,High,100,1
100204,2.6,2.9,12.5,Medium,98,1
100208,2.2,3.7,13.1,Low,98,1
100214,0.3,1.0,12.4,Low,100,1
100216,4.8,1.2,14.7,High,100,1
100232,2.3,0.9,6.0,Low,91,1
100235,4.4,1.2,10.3,Medium,96,1
100239,2.3,2.1,12.3,High,100,1
100258,2.5,0.3,10.0,Medium,91,1
100259,3.2,3.4,12.2,Low,95,1
100274,4.7,1.4,15.2,Low,100,1
100275,4.9,1.7,12.6,Medium,98,1
100277,4.9,0.3,11.8,High,95,1
100281,1.9,1.7,7.8,High,86,1
100293,4.1,1.1,12.3,Low,77,1
100299,0.6,3.5,15.4,High,92,1
100304,3.3,3.0,11.5,Low,76,1
100305,0.4,3.1,11.0,Medium,91,1
100310,0.8,1.2,5.5,Low,93,1
100322,1.3,1.3,6.8,Medium,100,1
100331,4.2,1.6,12.1,Low,91,1
