student_id,age,gender,major,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,previous_gpa,semester,stress_level,dropout_risk,social_activity,screen_time,study_environment,access_to_tutoring,family_income_range,parental_support_level,motivation_level,exam_anxiety_score,learning_style,time_management_score,exam_score,Study_Stress_Interaction,GPA_Relative_Performance,Pass_Fail
100000,26,Male,Computer Science,7.64536653374835,3.0,0.1,Yes,70.3,6.2,Poor,3,Some College,High,6.0,Yes,4.0,5,5.8,No,0,10.9,Co-Learning Group,Yes,High,9,7,8,Reading,3.0,100,44.34312589574043,0.348952965847813,1
100015,17,Female,Computer Science,3.52759548740777,0.1,0.8,Yes,98.0,8.0,Fair,1,PhD,Medium,10.0,Yes,3.14,8,4.7,No,2,5.1,Quiet Room,No,Medium,9,6,9,Reading,9.5,87,16.57969879081652,-0.5110470341521869,1
100023,23,Male,Computer Science,3.279126215564136,3.8,3.3,No,68.2,6.5,Good,1,High School,Medium,9.3,No,4.0,5,6.1,No,1,10.9,Quiet Room,Yes,Medium,4,2,10,Visual,8.0,100,20.00266991494123,0.348952965847813,1
100029,18,Female,Computer Science,3.837869655105928,3.8,0.4,No,68.2,5.8,Fair,4,Some College,High,4.5,Yes,4.0,3,3.9,No,4,8.1,Quiet Room,Yes,Low,5,8,7,Kinesthetic,2.0,100,14.96769165491312,0.348952965847813,1
100030,26,Other,Computer Science,7.606317651242962,4.0,0.9,Yes,94.5,6.8,Fair,7,PhD,Low,5.1,No,4.0,3,7.8,No,1,13.6,Co-Learning Group,Yes,Medium,5,10,5,Visual,6.6,100,59.3292776796951,0.348952965847813,1
100046,17,Female,Computer Science,8.205205575142877,4.1,2.2,Yes,59.7,5.2,Poor,3,PhD,Low,9.0,Yes,4.0,4,4.9,No,0,15.7,Co-Learning Group,No,Low,5,3,10,Reading,9.9,99,40.2055073182001,0.348952965847813,1
100055,21,Male,Computer Science,7.447689835997439,0.5,1.0,Yes,85.6,7.0,Good,2,Some College,High,5.5,No,4.0,2,7.7,No,4,9.3,Co-Learning Group,No,High,8,8,7,Kinesthetic,7.8,98,57.34721173718028,0.348952965847813,1
100057,28,Other,Computer Science,5.003501877270392,4.5,1.4,Yes,42.3,4.6,Good,2,Master,High,9.2,No,3.45,8,6.4,No,2,12.3,Dorm,No,High,9,10,5,Reading,2.4,88,32.02241201453051,-0.20104703415218683,1
100058,26,Other,Computer Science,4.523733655002461,3.3,3.6,Yes,44.9,6.2,Good,5,Bachelor,High,5.4,No,3.99,6,5.8,No,5,13.2,Quiet Room,Yes,Medium,7,3,10,Reading,6.4,96,26.237655199014274,0.3389529658478132,1
100062,16,Female,Computer Science,5.130825904749953,4.2,2.6,No,42.3,5.0,Good,2,Master,Low,8.6,Yes,2.98,7,6.0,No,1,13.5,Quiet Room,No,High,3,8,7,Visual,5.0,75,30.784955428499718,-0.671047034152187,1
100068,26,Female,Computer Science,3.2050948288547856,3.4,3.8,Yes,74.4,5.1,Good,1,Master,Medium,5.5,Yes,3.28,3,8.4,No,3,11.1,Quiet Room,No,Medium,5,4,10,Auditory,9.6,86,26.9227965623802,-0.3710470341521872,1
100078,27,Other,Computer Science,2.8211828352491244,3.9,1.5,No,41.9,6.5,Good,3,High School,High,8.8,Yes,4.0,8,4.0,No,3,9.9,Library,Yes,Low,1,8,7,Kinesthetic,3.8,100,11.284731340996498,0.348952965847813,1
100084,22,Other,Computer Science,6.9467355218064535,1.3,1.3,Yes,55.7,7.2,Fair,0,Some College,Low,5.2,No,4.0,3,7.5,No,5,10.7,Cafe,No,Low,2,8,7,Reading,3.8,100,52.1005164135484,0.348952965847813,1
100089,28,Male,Computer Science,5.497784896731553,3.5,0.2,Yes,66.3,6.7,Good,6,High School,Low,7.1,Yes,4.0,7,5.3,No,5,10.7,Co-Learning Group,Yes,Low,9,5,10,Reading,3.1,100,29.13825995267723,0.348952965847813,1
100092,25,Other,Computer Science,6.657019760526673,0.1,3.7,Yes,84.8,8.4,Good,1,Some College,Low,8.8,Yes,4.0,2,1.5,No,3,12.4,Library,No,High,10,4,10,Reading,4.6,97,9.98552964079001,0.348952965847813,1
100097,26,Other,Computer Science,2.4028451500191057,0.4,3.4,No,74.0,4.4,Good,5,High School,High,3.9,No,2.85,2,6.1,No,0,7.5,Co-Learning Group,No,High,1,4,10,Kinesthetic,2.9,72,14.657355415116545,-0.8010470341521869,1
100115,23,Female,Computer Science,7.493339984525651,1.8,0.3,Yes,43.1,5.8,Good,2,Some College,Low,6.5,Yes,2.89,7,5.4,No,1,10.9,Cafe,No,Medium,2,2,10,Visual,1.0,65,40.46403591643852,-0.7610470341521869,1
100119,18,Female,Computer Science,5.989289998993092,2.5,2.5,Yes,65.4,4.4,Fair,6,PhD,Low,10.0,Yes,3.58,1,1.8,No,1,12.0,Dorm,No,High,10,3,10,Visual,3.5,90,10.780721998187566,-0.07104703415218694,1
100123,25,Female,Computer Science,6.782306870620903,4.2,1.3,Yes,62.1,7.8,Fair,0,Bachelor,Medium,9.4,Yes,4.0,1,2.0,No,1,13.4,Co-Learning Group,Yes,High,10,4,10,Kinesthetic,5.2,100,13.564613741241805,0.348952965847813,1
100131,24,Other,Computer Science,5.33810510112067,1.8,2.4,No,96.9,9.6,Good,5,PhD,Low,6.3,No,3.58,4,5.5,No,1,10.9,Cafe,Yes,Low,8,9,6,Visual,3.8,94,29.359578056163684,-0.07104703415218694,1
100132,25,Male,Computer Science,4.602424444588155,4.3,0.2,Yes,86.5,7.2,Good,2,Bachelor,Low,6.8,No,3.36,8,5.9,No,1,9.4,Dorm,Yes,Low,6,7,8,Reading,6.3,87,27.154304223070113,-0.29104703415218713,1
100136,18,Other,Computer Science,6.489753270404044,0.8,0.4,No,64.6,9.4,Good,3,PhD,Medium,6.7,No,4.0,2,5.7,No,3,8.1,Quiet Room,Yes,Medium,5,5,10,Kinesthetic,3.1,99,36.991593641303055,0.348952965847813,1
100145,18,Other,Computer Science,8.058998018890609,1.1,1.2,No,75.1,5.7,Poor,6,Bachelor,Medium,8.5,No,3.7,4,5.9,No,2,11.4,Quiet Room,No,High,10,10,5,Kinesthetic,3.5,87,47.5480883114546,0.04895296584781317,1
100161,24,Other,Computer Science,5.557521811131731,3.0,1.3,No,98.8,7.3,Good,6,Some College,High,7.4,Yes,3.25,7,7.3,No,4,11.6,Cafe,Yes,Medium,7,6,9,Auditory,9.7,79,40.56990922126163,-0.401047034152187,1
100163,20,Female,Computer Science,4.6501850186700535,0.8,1.1,Yes,81.4,7.4,Fair,0,PhD,Low,6.3,No,4.0,2,3.8,No,4,7.1,Co-Learning Group,Yes,Low,6,8,7,Auditory,1.9,97,17.670703070946203,0.348952965847813,1
100166,24,Female,Computer Science,6.203417066424679,1.7,3.5,Yes,61.6,8.1,Fair,5,PhD,High,5.5,Yes,4.0,6,6.6,No,3,12.7,Quiet Room,Yes,High,8,9,6,Visual,8.4,100,40.94255263840288,0.348952965847813,1
100171,24,Other,Computer Science,7.842455117113548,0.9,2.5,Yes,50.9,8.2,Good,1,High School,Medium,7.1,No,3.9,5,4.6,No,5,11.7,Quiet Room,Yes,High,8,9,6,Reading,1.7,92,36.07529353872232,0.2489529658478129,1
100183,25,Female,Computer Science,2.930684991065026,2.0,2.6,No,96.7,6.5,Good,0,Master,Low,8.1,Yes,2.66,2,6.9,No,4,8.1,Co-Learning Group,No,Medium,1,4,10,Reading,8.7,61,20.22172643834868,-0.9910470341521869,1
