student_id,study_hours_per_day,time_management_score,attendance_percentage,learning_style,study_environment,Study_Stress_Interaction,GPA_Relative_Performance,exam_score,Pass_Fail
100000,7.64536653374835,3.0,70.3,Reading,Co-Learning Group,44.34312589574043,0.348952965847813,100,1
100015,3.52759548740777,9.5,98.0,Reading,Quiet Room,16.57969879081652,-0.5110470341521869,87,1
100023,3.279126215564136,8.0,68.2,Visual,Quiet Room,20.00266991494123,0.348952965847813,100,1
100029,3.837869655105928,2.0,68.2,Kinesthetic,Quiet Room,14.96769165491312,0.348952965847813,100,1
100030,7.606317651242962,6.6,94.5,Visual,Co-Learning Group,59.3292776796951,0.348952965847813,100,1
100046,8.205205575142877,9.9,59.7,Reading,Co-Learning Group,40.2055073182001,0.348952965847813,99,1
100055,7.447689835997439,7.8,85.6,Kinesthetic,Co-Learning Group,57.34721173718028,0.348952965847813,98,1
100057,5.003501877270392,2.4,42.3,Reading,Dorm,32.02241201453051,-0.2010470341521868,88,1
100058,4.523733655002461,6.4,44.9,Reading,Quiet Room,26.237655199014277,0.3389529658478132,96,1
100062,5.130825904749953,5.0,42.3,Visual,Quiet Room,30.78495542849972,-0.671047034152187,75,1
100068,3.2050948288547856,9.6,74.4,Auditory,Quiet Room,26.9227965623802,-0.3710470341521872,86,1
100078,2.8211828352491244,3.8,41.9,Kinesthetic,Library,11.284731340996498,0.348952965847813,100,1
100084,6.9467355218064535,3.8,55.7,Reading,Cafe,52.1005164135484,0.348952965847813,100,1
100089,5.497784896731553,3.1,66.3,Reading,Co-Learning Group,29.13825995267723,0.348952965847813,100,1
100092,6.657019760526673,4.6,84.8,Reading,Library,9.98552964079001,0.348952965847813,97,1
100097,2.4028451500191057,2.9,74.0,Kinesthetic,Co-Learning Group,14.657355415116545,-0.8010470341521869,72,1
100115,7.493339984525651,1.0,43.1,Visual,Cafe,40.46403591643852,-0.7610470341521869,65,1
100119,5.989289998993092,3.5,65.4,Visual,Dorm,10.780721998187566,-0.0710470341521869,90,1
100123,6.782306870620903,5.2,62.1,Kinesthetic,Co-Learning Group,13.564613741241804,0.348952965847813,100,1
100131,5.33810510112067,3.8,96.9,Visual,Cafe,29.359578056163684,-0.0710470341521869,94,1
100132,4.602424444588155,6.3,86.5,Reading,Dorm,27.154304223070117,-0.2910470341521871,87,1
100136,6.489753270404044,3.1,64.6,Kinesthetic,Quiet Room,36.991593641303055,0.348952965847813,99,1
100145,8.058998018890609,3.5,75.1,Kinesthetic,Quiet Room,47.5480883114546,0.0489529658478131,87,1
100161,5.557521811131731,9.7,98.8,Auditory,Cafe,40.56990922126163,-0.401047034152187,79,1
100163,4.6501850186700535,1.9,81.4,Auditory,Co-Learning Group,17.670703070946203,0.348952965847813,97,1
100166,6.203417066424679,8.4,61.6,Visual,Quiet Room,40.94255263840288,0.348952965847813,100,1
100171,7.842455117113548,1.7,50.9,Reading,Quiet Room,36.07529353872232,0.2489529658478129,92,1
100183,2.930684991065026,8.7,96.7,Reading,Co-Learning Group,20.22172643834868,-0.9910470341521868,61,1
100191,0.4577148254524192,3.9,74.6,Kinesthetic,Co-Learning Group,2.929374882895483,0.0589529658478129,88,1
100199,1.5362152466406167,9.8,55.2,Kinesthetic,Library,12.596965022453055,-0.6610470341521868,83,1
100202,5.038026062443537,2.7,86.6,Auditory,Cafe,13.098867762353196,0.348952965847813,100,1
100204,5.316933325423417,4.5,96.7,Auditory,Library,20.20434663660898,0.348952965847813,98,1
100208,6.979792502650184,3.7,84.9,Reading,Quiet Room,18.14746050689048,0.348952965847813,98,1
100214,10.275878278999722,6.9,96.6,Kinesthetic,Quiet Room,21.579344385899415,0.348952965847813,100,1
100216,7.172896035120191,6.6,49.1,Auditory,Co-Learning Group,23.67055691589663,0.348952965847813,100,1
100232,2.3102159020788484,1.3,94.8,Visual,Cafe,5.775539755197121,-0.1110470341521869,91,1
100235,3.1056616819017884,6.5,95.1,Kinesthetic,Co-Learning Group,15.52830840950894,0.348952965847813,96,1
100239,6.978527133247132,7.3,65.3,Reading,Co-Learning Group,60.71318605925004,0.348952965847813,100,1
100258,5.697999203595827,5.3,97.0,Auditory,Dorm,35.32759506229413,0.2689529658478129,91,1
100259,5.464295787393317,6.2,71.9,Visual,Library,25.68219020074859,0.348952965847813,95,1
100274,8.741844979505059,7.4,70.3,Auditory,Dorm,64.68965284833743,0.348952965847813,100,1
100275,4.934742153844404,2.2,46.8,Reading,Dorm,31.582349784604187,0.348952965847813,98,1
100277,4.625290315541831,7.5,52.0,Reading,Dorm,43.01519993453903,0.198952965847813,95,1
100281,2.225153000215117,1.8,61.1,Reading,Quiet Room,3.115214200301164,-0.0210470341521871,86,1
100293,5.646052326723462,4.8,47.8,Auditory,Cafe,20.325788376204464,-0.691047034152187,77,1
100299,9.697033463188696,1.8,59.4,Auditory,Dorm,35.87902381379818,0.0389529658478129,92,1
100304,3.70509159765229,1.8,77.1,Visual,Library,11.856293112487329,-0.421047034152187,76,1
100305,7.23858253502037,5.2,41.3,Auditory,Cafe,41.25992044961611,0.3089529658478129,91,1
100310,2.6109857705357555,8.6,84.0,Kinesthetic,Cafe,14.360421737946655,0.348952965847813,93,1
100322,3.049357055985044,9.7,69.1,Auditory,Quiet Room,8.843135462356626,0.348952965847813,100,1
100331,5.05220314335016,5.2,54.0,Visual,Cafe,34.8602016891161,-0.0310470341521869,91,1
100335,4.785686392431772,8.6,57.0,Auditory,Library,29.192686993833806,-0.1810470341521868,90,1
100336,4.809487770291792,5.8,92.7,Reading,Dorm,20.680797412254705,0.0589529658478129,96,1
100344,2.891105273045864,4.9,63.3,Auditory,Cafe,6.071321073396315,0.2989529658478131,100,1
100348,6.270589095640896,5.0,50.1,Auditory,Library,15.04941382953815,0.348952965847813,91,1
100361,6.3851943528116095,8.1,79.9,Reading,Cafe,29.3718940229334,0.348952965847813,100,1
100377,6.306549553489886,2.6,73.1,Kinesthetic,Co-Learning Group,35.31667749954336,0.348952965847813,100,1
100396,0.8418350264520229,2.5,61.2,Auditory,Quiet Room,4.630092645486126,-0.8510470341521872,69,1
100398,2.076339246917009,3.9,48.7,Kinesthetic,Cafe,8.305356987668036,0.348952965847813,100,1
100400,7.871819601441486,4.3,84.8,Visual,Quiet Room,35.423188206486685,0.348952965847813,100,1
100411,2.714104903263184,5.3,60.5,Auditory,Co-Learning Group,14.113345496968558,0.348952965847813,100,1
100415,2.032635537294374,4.7,73.1,Visual,Cafe,16.870874959543304,0.348952965847813,100,1
100425,6.701430679312905,8.6,78.6,Visual,Cafe,10.722289086900648,0.348952965847813,100,1
100427,4.388016720050273,9.5,96.0,Reading,Quiet Room,14.041653504160877,-0.5610470341521872,74,1
100431,3.1337395046141525,6.3,83.9,Kinesthetic,Co-Learning Group,13.475079869840854,0.2389529658478131,100,1
100433,4.387344412000145,6.3,65.7,Visual,Cafe,13.162033236000434,-0.0110470341521868,93,1
100434,5.403892617942292,7.4,79.8,Kinesthetic,Co-Learning Group,24.317516780740316,-0.4110470341521868,79,1
100441,6.381467900355108,3.0,82.1,Reading,Library,24.88772481138492,0.2789529658478131,100,1
100448,5.764491157769897,6.6,51.4,Auditory,Co-Learning Group,27.09310844151852,0.348952965847813,94,1
100453,3.314125883204248,3.3,76.4,Auditory,Co-Learning Group,7.291076943049346,0.138952965847813,96,1
100468,4.347879773163536,3.4,57.7,Reading,Library,32.609098298726515,0.348952965847813,100,1
100474,5.310463392452133,2.9,91.6,Visual,Library,32.39382669395801,-0.691047034152187,75,1
100475,4.772411634684131,5.5,79.3,Visual,Cafe,24.816540500357483,-0.921047034152187,72,1
100476,4.3740497399785045,5.4,62.6,Auditory,Co-Learning Group,34.554992945830186,-0.211047034152187,86,1
100481,6.394714567520527,6.3,60.7,Reading,Dorm,6.394714567520527,0.348952965847813,100,1
100484,3.088965055723034,2.9,50.7,Auditory,Co-Learning Group,12.355860222892137,0.158952965847813,93,1
100499,6.935982699957602,4.9,54.9,Reading,Dorm,69.35982699957603,0.348952965847813,100,1
100508,4.732322568312464,7.4,44.2,Visual,Co-Learning Group,20.82221930057484,-0.0310470341521869,90,1
