student_id,mental_health_rating,exam_anxiety_score,stress_level,sleep_hours,diet_quality,exercise_frequency,exam_score,Pass_Fail
100000,6.0,8,5.8,6.2,Poor,3,100,1
100015,10.0,9,4.7,8.0,Fair,1,87,1
100023,9.3,10,6.1,6.5,Good,1,100,1
100029,4.5,7,3.9,5.8,Fair,4,100,1
100030,5.1,5,7.8,6.8,Fair,7,100,1
100046,9.0,10,4.9,5.2,Poor,3,99,1
100055,5.5,7,7.7,7.0,Good,2,98,1
100057,9.2,5,6.4,4.6,Good,2,88,1
100058,5.4,10,5.8,6.2,Good,5,96,1
100062,8.6,7,6.0,5.0,Good,2,75,1
100068,5.5,10,8.4,5.1,Good,1,86,1
100078,8.8,7,4.0,6.5,Good,3,100,1
100084,5.2,7,7.5,7.2,Fair,0,100,1
100089,7.1,10,5.3,6.7,Good,6,100,1
100092,8.8,10,1.5,8.4,Good,1,97,1
100097,3.9,10,6.1,4.4,Good,5,72,1
100115,6.5,10,5.4,5.8,Good,2,65,1
100119,10.0,10,1.8,4.4,Fair,6,90,1
100123,9.4,10,2.0,7.8,Fair,0,100,1
100131,6.3,6,5.5,9.6,Good,5,94,1
100132,6.8,8,5.9,7.2,Good,2,87,1
100136,6.7,10,5.7,9.4,Good,3,99,1
100145,8.5,5,5.9,5.7,Poor,6,87,1
100161,7.4,9,7.3,7.3,Good,6,79,1
100163,6.3,7,3.8,7.4,Fair,0,97,1
100166,5.5,6,6.6,8.1,Fair,5,100,1
100171,7.1,6,4.6,8.2,Good,1,92,1
100183,8.1,10,6.9,6.5,Good,0,61,1
100191,4.9,9,6.4,4.0,Good,3,88,1
100199,3.5,10,8.2,7.4,Good,1,83,1
100202,6.8,8,2.6,6.5,Fair,5,100,1
100204,10.0,6,3.8,7.3,Good,1,98,1
100208,10.0,10,2.6,9.2,Good,3,98,1
100214,8.2,8,2.1,8.6,Good,0,100,1
100216,5.3,5,3.3,4.8,Fair,4,100,1
100232,4.1,7,2.5,7.8,Fair,4,91,1
100235,8.2,10,5.0,8.0,Good,4,96,1
100239,6.3,10,8.7,7.3,Good,5,100,1
100258,9.3,10,6.2,10.4,Poor,6,91,1
100259,3.5,6,4.7,7.3,Fair,5,95,1
100274,6.5,10,7.4,7.7,Poor,3,100,1
100275,8.1,6,6.4,8.6,Good,6,98,1
100277,7.5,8,9.3,5.1,Good,5,95,1
100281,2.0,5,1.4,9.3,Good,6,86,1
100293,7.9,10,3.6,8.7,Good,6,77,1
100299,5.6,8,3.7,7.5,Poor,4,92,1
100304,7.4,10,3.2,5.4,Good,4,76,1
100305,8.9,7,5.7,10.4,Poor,6,91,1
100310,4.0,10,5.5,6.9,Poor,7,93,1
100322,7.9,6,2.9,7.4,Fair,1,100,1
100331,5.2,8,6.9,9.4,Good,6,91,1
100335,3.6,9,6.1,9.5,Fair,3,90,1
100336,8.3,10,4.3,7.2,Poor,6,96,1
100344,5.1,10,2.1,7.5,Good,1,100,1
100348,10.0,10,2.4,6.3,Good,6,91,1
100361,5.9,6,4.6,8.4,Good,0,100,1
100377,6.6,8,5.6,7.1,Good,4,100,1
100396,9.2,7,5.5,6.2,Fair,2,69,1
100398,8.1,9,4.0,7.3,Fair,4,100,1
100400,6.0,8,4.5,6.9,Poor,0,100,1
100411,3.4,8,5.2,8.7,Good,6,100,1
100415,6.2,7,8.3,6.6,Poor,7,100,1
100425,9.6,10,1.6,5.3,Good,0,100,1
100427,9.6,10,3.2,4.0,Good,0,74,1
100431,6.2,10,4.3,8.5,Fair,6,100,1
100433,5.0,10,3.0,4.2,Poor,7,93,1
100434,5.9,10,4.5,6.6,Fair,4,79,1
100441,8.3,10,3.9,5.7,Good,0,100,1
100448,6.5,9,4.7,6.3,Fair,7,94,1
100453,10.0,10,2.2,8.4,Fair,2,96,1
100468,4.8,7,7.5,5.8,Poor,7,100,1
100474,5.2,8,6.1,5.0,Fair,6,75,1
100475,6.5,10,5.2,6.1,Poor,6,72,1
100476,5.3,10,7.9,7.4,Fair,7,86,1
100481,7.5,8,1.0,8.2,Poor,3,100,1
100484,7.7,8,4.0,7.2,Good,5,93,1
100499,2.0,7,10.0,7.6,Poor,6,100,1
100508,6.1,10,4.4,8.1,Fair,6,90,1
100513,7.0,10,4.8,7.1,Poor,1,65,1
100514,3.4,10,5.6,5.5,Good,7,94,1
100517,4.0,10,7.6,7.5,Good,5,93,1
100523,1.4,6,6.5,4.7,Poor,2,84,1
100529,8.1,8,4.8,7.4,Good,7,85,1
100530,7.7,6,1.0,5.1,Good,4,99,1
100537,7.2,5,2.9,8.5,Poor,5,93,1
100555,6.6,7,3.1,5.1,Good,2,85,1
100558,8.1,7,4.0,5.5,Good,1,87,1
100559,7.5,10,6.0,5.5,Good,3,76,1
100566,6.1,6,7.7,6.7,Good,7,100,1
100572,3.3,10,1.6,5.4,Poor,3,99,1
100585,5.5,10,4.1,7.3,Good,7,83,1
100594,4.8,8,6.3,7.2,Good,6,100,1
100599,5.9,5,4.3,8.5,Poor,2,100,1
100601,6.6,10,7.8,5.9,Poor,2,91,1
100602,5.8,10,2.8,7.3,Good,1,95,1
100625,7.5,10,3.2,4.9,Good,2,87,1
100638,6.8,10,6.9,4.0,Fair,1,71,1
100639,7.1,10,6.0,9.4,Fair,5,100,1
100647,4.7,10,3.7,7.8,Good,4,99,1
100653,5.6,10,5.2,9.7,Poor,5,100,1
100658,5.0,10,3.5,5.4,Poor,5,84,1
100661,10.0,9,5.8,7.6,Poor,4,97,1
100662,2.5,10,8.0,10.1,Good,6,94,1
100680,8.2,6,4.6,9.1,Good,2,98,1
100681,4.1,10,6.8,5.4,Fair,5,96,1
100682,6.4,6,2.6,9.0,Poor,6,88,1
100691,2.5,8,8.7,6.8,Fair,2,69,1
100702,8.7,8,1.0,8.1,Poor,5,89,1
100704,7.2,9,4.4,5.2,Fair,0,98,1
100715,5.4,6,5.3,6.9,Fair,1,73,1
100716,7.2,10,6.1,5.1,Fair,0,64,1
100718,6.5,7,4.4,7.4,Poor,5,99,1
100722,6.4,6,2.0,6.4,Good,7,92,1
100727,6.0,10,2.0,8.3,Fair,3,80,1
100748,4.8,8,6.7,7.3,Poor,6,87,1
100757,8.8,5,5.2,7.2,Fair,4,100,1
100764,6.9,10,6.5,8.9,Good,3,96,1
100771,7.9,5,4.6,7.4,Good,2,100,1
100773,9.2,6,3.0,7.6,Fair,2,100,1
100776,7.5,7,7.1,6.9,Good,0,100,1
100786,7.1,7,4.0,6.6,Good,7,93,1
100791,5.3,10,3.7,6.1,Poor,6,95,1
100808,3.7,5,7.4,8.2,Good,5,93,1
100809,9.6,8,2.7,6.2,Good,0,100,1
100817,4.8,7,6.4,5.8,Good,5,92,1
100821,4.7,10,3.5,7.7,Good,6,91,1
100840,8.7,9,3.5,9.4,Fair,1,91,1
100849,7.2,7,1.5,6.8,Good,1,83,1
100862,4.0,10,8.3,6.6,Poor,3,97,1
100863,4.9,7,4.6,8.5,Poor,1,100,1
100870,7.6,9,4.1,8.7,Good,7,97,1
100871,5.9,10,4.4,8.6,Good,1,77,1
100875,6.6,5,5.1,7.7,Poor,7,100,1
100877,7.2,8,4.6,5.4,Fair,2,100,1
100882,3.4,5,6.7,7.9,Poor,2,96,1
100883,6.4,10,3.9,7.4,Good,0,92,1
100884,7.9,7,4.2,5.2,Fair,0,90,1
100892,10.0,10,5.7,7.5,Good,6,97,1
100903,7.6,10,1.4,8.5,Good,6,99,1
100905,6.5,9,4.1,7.8,Poor,5,97,1
100917,7.1,10,1.0,4.0,Fair,0,63,1
100929,9.5,7,6.8,8.4,Good,5,100,1
100931,9.0,10,4.6,8.2,Fair,4,99,1
100933,7.6,8,5.3,8.1,Fair,1,98,1
100935,9.9,10,5.7,10.0,Fair,4,100,1
100941,6.8,10,2.4,6.4,Poor,7,100,1
100948,7.3,7,5.5,9.4,Fair,6,89,1
100955,4.8,5,3.4,7.7,Fair,1,100,1
100958,8.6,8,1.0,4.6,Fair,5,88,1
100976,6.5,10,3.3,7.2,Good,5,100,1
100985,8.6,10,6.5,5.8,Fair,4,58,0
100987,6.1,5,5.0,8.2,Good,4,100,1
100991,10.0,10,3.9,9.0,Fair,3,85,1
101000,8.5,10,8.5,8.2,Fair,4,100,1
101003,4.6,10,4.4,8.3,Poor,3,97,1
101004,7.8,10,1.0,7.1,Good,1,100,1
101012,6.7,8,7.0,7.8,Good,6,95,1
101018,6.7,10,4.6,5.1,Good,7,90,1
101020,6.1,10,6.3,6.7,Poor,3,72,1
101024,3.1,10,3.3,7.9,Good,1,97,1
101026,3.7,9,7.0,5.6,Poor,2,100,1
101027,6.4,10,7.5,7.9,Poor,5,92,1
101028,8.5,10,6.6,4.2,Good,3,83,1
101033,7.3,10,3.3,8.7,Good,4,100,1
101050,10.0,8,3.0,7.4,Poor,1,89,1
101057,6.2,10,4.6,5.9,Poor,7,70,1
101060,4.2,5,7.5,8.6,Good,5,93,1
101064,6.1,6,4.0,5.1,Fair,0,100,1
101071,7.3,10,1.9,5.8,Fair,0,86,1
101079,7.1,5,8.0,6.5,Good,7,56,0
101080,3.1,10,6.6,8.6,Fair,6,99,1
101086,8.5,7,1.2,4.0,Good,1,82,1
